"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://knightlogics.com/?openPackage=ops-growth-system-starter","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-custom-automation-system","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-launch","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-essential","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-seo-starter","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-job-records-system","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-plus","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-preview-launch","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-automated-job-records","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-full-growth-system","1","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","Non-Indexable","Canonicalised"
