"URL","Title","Character Length","Pixel Length","Description","Character Length","Pixel Length"
"https://knightlogics.com/case-study-moms-resin-tables","E-Commerce Launch Case Study — Mom's Resin Tables | Knight Logics","65","631","Case study: MomsResinTables.com — E-Commerce Launch by Knight Logics. Handcrafted resin tabletop storefront with custom builder, user login, order tracking, and Stripe checkout.","177","1129"
"https://knightlogics.com/display-control-plus","Display Control+ | Knight Logics","32","281","Display Control+ by Knight Logics: professional Windows utility for per-monitor OLED/LCD protection with tray controls, idle detection modes, and persistent overlay workflows.","175","1082"
"https://knightlogics.com/service-ecommerce","E-Commerce Development — Tampa Bay Shopify, Firebase & Stripe | Knight Logics","77","734","Custom e-commerce development for Tampa Bay businesses. Shopify alternatives, Firebase + Stripe storefronts, and data systems built to your spec — no platform lock-in, no monthly fees.","184","1158"
"https://knightlogics.com/auto-vid-compiler","Auto Vid Compiler | Knight Logics","33","298","Auto Vid Compiler by Knight Logics: open-source Windows app that turns a folder of clips into a highlight reel. Trim endings, add intro and music, export one YouTube-ready video.","178","1094"
"https://knightlogics.com/case-study-sals-painting","Search-Ready Starter Case Study — Sal's Painting | Knight Logics","64","576","Case study: Sal's Painting — Search-Ready Starter by Knight Logics. Multi-page painter website with GA4, Clarity, GSC setup, and core technical SEO foundation.","159","985"
"https://knightlogics.com/case-study-farrell-electric","Preview Launch Site Case Study — Farrell Electric | Knight Logics","65","577","Case study: Farrell Electric — Preview Launch Site by Knight Logics. Multi-page electrician website on GitHub Pages with essential SEO and contact form.","152","940"
"https://knightlogics.com/?openPackage=ecommerce-growth-store","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-local-launch-plus","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=monthly-visibility-pro","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=monthly-growth-management","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-growth-system-starter","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-custom-automation-system","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ecommerce-launch","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-live-essential","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-local-seo-starter","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-job-records-system","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-search-foundation","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-live-plus","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=website-preview-launch","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-automated-job-records","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
"https://knightlogics.com/?openPackage=ops-full-growth-system","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133"
